Taxon,Strain,Accession ID,Originating Laboratory,Submitting Laboratory,Authors
Georgia/Tb-6572/2020|2020-04-29,Georgia/Tb-6572/2020,EPI_ISL_447056,"Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Gvantsa Brachveli et al
Georgia/Tb-6598/2020|2020-04-29,Georgia/Tb-6598/2020,EPI_ISL_447055,"Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Meri Pantsulaia et al
Georgia/Tb-712/2020|2020-03-16,Georgia/Tb-712/2020,EPI_ISL_416481,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Gvantsa Chanturia et al
Germany/BAV-MVP0001/2020|2020-03-14,Germany/BAV-MVP0001/2020,EPI_ISL_437359,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0059/2020|2020-03-20,Germany/BAV-MVP0059/2020,EPI_ISL_437258,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0184/2020|2020-04-13,Germany/BAV-MVP0184/2020,EPI_ISL_466877,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0207/2020|2020-04-20,Germany/BAV-MVP0207/2020,EPI_ISL_466888,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0221/2020|2020-04-22,Germany/BAV-MVP0221/2020,EPI_ISL_466894,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0240/2020|2020-04-28,Germany/BAV-MVP0240/2020,EPI_ISL_466899,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0247/2020|2020-04-30,Germany/BAV-MVP0247/2020,EPI_ISL_466902,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0270/2020|2020-05-19,Germany/BAV-MVP0270/2020,EPI_ISL_466912,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0272/2020|2020-05-23,Germany/BAV-MVP0272/2020,EPI_ISL_466918,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0273/2020|2020-05-20,Germany/BAV-MVP0273/2020,EPI_ISL_466913,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0274/2020|2020-05-22,Germany/BAV-MVP0274/2020,EPI_ISL_466915,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0276/2020|2020-05-25,Germany/BAV-MVP0276/2020,EPI_ISL_466919,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0281/2020|2020-05-07,Germany/BAV-MVP0281/2020,EPI_ISL_466908,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0283/2020|2020-05-11,Germany/BAV-MVP0283/2020,EPI_ISL_466909,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0289/2020|2020-05-25,Germany/BAV-MVP0289/2020,EPI_ISL_466922,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-MVP0291/2020|2020-05-25,Germany/BAV-MVP0291/2020,EPI_ISL_466923,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BAV-V2011463/2020|2020-03-15,Germany/BAV-V2011463/2020,EPI_ISL_420904,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU Munich","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
Germany/BavPat1-ChVir929/2020|2020-01-28,Germany/BavPat1-ChVir929/2020,EPI_ISL_450198,Department of Virology,Department of Virology,Boehmer et al
Germany/BavPat14-ChVir1483/2020|2020-02-08,Germany/BavPat14-ChVir1483/2020,EPI_ISL_450208,Department of Virology,Department of Virology,Boehmer et al
Germany/BavPat2-ChVir984-ChVir1017/2020|2020-01-30,Germany/BavPat2-ChVir984-ChVir1017/2020,EPI_ISL_450209,Department of Virology,Department of Virology,Boehmer et al
Germany/BavPat7-ChVir1289/2020|2020-02-01,Germany/BavPat7-ChVir1289/2020,EPI_ISL_450203,Department of Virology,Department of Virology,Boehmer et al
Germany/COV7/2020|2020-03-26,Germany/COV7/2020,EPI_ISL_457750,Centogene AG,Centogene AG,Prof. Dr. Peter Bauer et al
Germany/FrankfurtFFM4/2020|2020-03-02,Germany/FrankfurtFFM4/2020,EPI_ISL_452220,Goethe University Hospital Frankfurt,"Institute for Medical Virology, Goethe University Hospital Frankfurt",Tuna Toptan et al
Germany/NRW-03/2020|2020-02-26,Germany/NRW-03/2020,EPI_ISL_414498,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al
Germany/NRW-13/2020|2020-03-11,Germany/NRW-13/2020,EPI_ISL_417458,"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf",Ortwin Adams et al
Ghana/1659_S14/2020|2020-03-25,Ghana/1659_S14/2020,EPI_ISL_422405,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
Ghana/2828_S6/2020|2020-03-29,Ghana/2828_S6/2020,EPI_ISL_422397,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
Ghana/2914_S8/2020|2020-03-30,Ghana/2914_S8/2020,EPI_ISL_422399,"NMIMR, Department of Virology","WACCBIP, University of Ghana",Joyce M. Ngoi et al
Greece/12/2020|2020-03-18,Greece/12/2020,EPI_ISL_418264,"Laboratory of Microbiology, Department of Medicine, National and Kapodistrian University of Athens, Greece","Laboratory of Biology, Department of Medicine, Democritus University of Thrace, Greece",Maria Bampali et al
Greece/144/2020|2020-03-16,Greece/144/2020,EPI_ISL_434483,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al
Greece/33_36910/2020|2020-03-29,Greece/33_36910/2020,EPI_ISL_437893,"Laboratory of Microbiology, Medical School, National and Kapodistrian University of Athens","Laboratory of Biology, Department of Medicine, Democritus University of Thrace",Kassela K. et al
Greece/34_36284/2020|2020-03-24,Greece/34_36284/2020,EPI_ISL_447832,unknown,Department of Medicine,Kassela et al
Guam/GU_NHG_01/2020|2020-03-26,Guam/GU_NHG_01/2020,EPI_ISL_444998,Naval Health Research Center,Naval Medical Research Center Biological Defense Research Directorate,Logan Voegtly et al
Guam/GU_NHG_02/2020|2020-03-24,Guam/GU_NHG_02/2020,EPI_ISL_444999,Naval Health Research Center,Naval Medical Research Center Biological Defense Research Directorate,Logan Voegtly et al
Guam/GU_NHG_03/2020|2020-03-20,Guam/GU_NHG_03/2020,EPI_ISL_445000,Naval Health Research Center,Naval Medical Research Center Biological Defense Research Directorate,Logan Voegtly et al
Guangdong/20SF012/2020|2020-01-14,Guangdong/20SF012/2020,EPI_ISL_403932,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention",Min Kang et al
Guangdong/20SF013/2020|2020-01-15,Guangdong/20SF013/2020,EPI_ISL_403933,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention",Min Kang et al
Guangdong/20SF014/2020|2020-01-15,Guangdong/20SF014/2020,EPI_ISL_403934,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention",Min Kang et al
Guangdong/20SF028/2020|2020-01-17,Guangdong/20SF028/2020,EPI_ISL_403936,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention",Min Kang et al
Guangdong/20SF040/2020|2020-01-18,Guangdong/20SF040/2020,EPI_ISL_403937,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health,"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention",Min Kang et al
Guangdong/20SF043/2020|2020-01-18,Guangdong/20SF043/2020,EPI_ISL_428440,Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health,"School of Public Health, The University of Hong Kong",Bosheng Li et al
Guangdong/20SF316/2020|2020-01-24,Guangdong/20SF316/2020,EPI_ISL_428461,Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health,"School of Public Health, The University of Hong Kong",Bosheng Li et al
Guangdong/MZ01/2020|2020-02-13,Guangdong/MZ01/2020,EPI_ISL_454417,"Research and Experiment Center, Meizhou People Hospital","Research and Experiment Center, Meizhou People Hospital",Guo et al
Guangzhou/GZMU0079/2020|2020-02-11,Guangzhou/GZMU0079/2020,EPI_ISL_457691,"The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China",BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University,Yanqun Wang et al
Guangzhou/GZMU0099/2020|2020-02-20,Guangzhou/GZMU0099/2020,EPI_ISL_457696,"The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China",BGI-shenzhen & The First Affiliated Hospital of Guangzhou Medical University,Yanqun Wang et al
Hangzhou/HZCDC0048L/2020|2020-01-21,Hangzhou/HZCDC0048L/2020,EPI_ISL_421232,Hangzhou Center for Diseases Control and Prevention,Hangzhou Center for Diseases Control and Prevention,Jun Li et al
Hangzhou/ZJU-05/2020|2020-01-22,Hangzhou/ZJU-05/2020,EPI_ISL_415711,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. 310003","State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. 310003",Hangping Yao et al
Hangzhou/ZJU-06/2020|2020-02-02,Hangzhou/ZJU-06/2020,EPI_ISL_416047,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003","State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003",Hangping Yao et al
Hong_Kong/CUHK2/2020|2020-02-19,Hong_Kong/CUHK2/2020,EPI_ISL_416315,"Department of Microbiology, Faculty of Medicine, The Chinese University of Hong Kong, Hong Kong SAR, China","Department of Microbiology, Faculty of Medicine, Chinese University of Hong Kong, Hong Kong SAR, China",Zigui Chen et al
Hong_Kong/HKPU_2801/2020|2020-02-08,Hong_Kong/HKPU_2801/2020,EPI_ISL_417190,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU17_2201/2020|2020-02-03,Hong_Kong/HKPU17_2201/2020,EPI_ISL_417180,"Department of Pathology, United Christian Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU2_1801/2020|2020-01-23,Hong_Kong/HKPU2_1801/2020,EPI_ISL_417177,"Department of Pathology, Princess Margaret Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU20_3001/2020|2020-02-05,Hong_Kong/HKPU20_3001/2020,EPI_ISL_417182,"Department of Pathology, United Christian Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU23_2601/2020|2020-01-30,Hong_Kong/HKPU23_2601/2020,EPI_ISL_417183,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU27_3001/2020|2020-02-08,Hong_Kong/HKPU27_3001/2020,EPI_ISL_417184,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU28_3001/2020|2020-02-09,Hong_Kong/HKPU28_3001/2020,EPI_ISL_417185,"Department of Pathology, United Christian Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU29_0102/2020|2020-02-08,Hong_Kong/HKPU29_0102/2020,EPI_ISL_417187,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU30_2901/2020|2020-02-08,Hong_Kong/HKPU30_2901/2020,EPI_ISL_417188,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU33_0202/2020|2020-02-09,Hong_Kong/HKPU33_0202/2020,EPI_ISL_417195,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU34_3001/2020|2020-02-09,Hong_Kong/HKPU34_3001/2020,EPI_ISL_417197,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU35_0402/2020|2020-02-09,Hong_Kong/HKPU35_0402/2020,EPI_ISL_417199,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Chong-Yee YAU et al
Hong_Kong/HKPU36-0702/2020|2020-02-09,Hong_Kong/HKPU36-0702/2020,EPI_ISL_418815,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU38-3001/2020|2020-02-09,Hong_Kong/HKPU38-3001/2020,EPI_ISL_419213,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU41-0802/2020|2020-02-10,Hong_Kong/HKPU41-0802/2020,EPI_ISL_419216,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU43-0202/2020|2020-02-10,Hong_Kong/HKPU43-0202/2020,EPI_ISL_419218,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU48-0202/2020|2020-02-11,Hong_Kong/HKPU48-0202/2020,EPI_ISL_419222,"Department of Pathology, Princess Margaret Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU49-3001/2020|2020-02-11,Hong_Kong/HKPU49-3001/2020,EPI_ISL_419223,"Department of Pathology, Princess Margaret Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU53-0802/2020|2020-02-13,Hong_Kong/HKPU53-0802/2020,EPI_ISL_419225,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU54-0302/2020|2020-02-13,Hong_Kong/HKPU54-0302/2020,EPI_ISL_419226,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU57-0702/2020|2020-02-15,Hong_Kong/HKPU57-0702/2020,EPI_ISL_419227,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU6_2101/2020|2020-01-25,Hong_Kong/HKPU6_2101/2020,EPI_ISL_417178,"Department of Pathology, Princess Margaret Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU61-0202/2020|2020-02-17,Hong_Kong/HKPU61-0202/2020,EPI_ISL_419229,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU64-1202/2020|2020-02-19,Hong_Kong/HKPU64-1202/2020,EPI_ISL_419232,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU65-1202/2020|2020-02-19,Hong_Kong/HKPU65-1202/2020,EPI_ISL_419241,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU73-0802/2020|2020-02-22,Hong_Kong/HKPU73-0802/2020,EPI_ISL_419244,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU74-1302/2020|2020-02-22,Hong_Kong/HKPU74-1302/2020,EPI_ISL_419245,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKPU89-2502/2020|2020-02-26,Hong_Kong/HKPU89-2502/2020,EPI_ISL_419250,"Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital","Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University",Kenneth Siu-Sing LEUNG et al
Hong_Kong/HKU-001a/2020|2020-01-22,Hong_Kong/HKU-001a/2020,EPI_ISL_434571,"Microbiology, The University of Hong Kong","Microbiology, The University of Hong Kong",Chan et al
Hong_Kong/HKU-902a/2020|2020-01-23,Hong_Kong/HKU-902a/2020,EPI_ISL_434563,unknown,"Microbiology, The University of Hong Kong",To et al
Hong_Kong/HKU-902b/2020|2020-01-24,Hong_Kong/HKU-902b/2020,EPI_ISL_434564,unknown,"Microbiology, The University of Hong Kong",To et al
Hong_Kong/HKU-903a/2020|2020-01-24,Hong_Kong/HKU-903a/2020,EPI_ISL_434565,unknown,"Microbiology, The University of Hong Kong",To et al
Hong_Kong/HKU-905a/2020|2020-01-24,Hong_Kong/HKU-905a/2020,EPI_ISL_450408,unknown,Microbiology,To et al
Hong_Kong/HKU-907b/2020|2020-01-29,Hong_Kong/HKU-907b/2020,EPI_ISL_434568,unknown,"Microbiology, The University of Hong Kong",To et al
Hong_Kong/HKU-908b/2020|2020-01-29,Hong_Kong/HKU-908b/2020,EPI_ISL_434570,unknown,Microbiology,To et al
Hong_Kong/VB20017970-2/2020|2020-01-21,Hong_Kong/VB20017970-2/2020,EPI_ISL_417064,Prince of Wales Hospital,Hong Kong Department of Health,Alan K.L. Tsang et al
Hong_Kong/VB20026565-2/2020|2020-02-01,Hong_Kong/VB20026565-2/2020,EPI_ISL_412030,Hong Kong Department of Health,"School of Public Health, The University of Hon g Kong",Dominic N.C. Tsang et al
Hong_Kong/VM20001061-2/2020|2020-01-22,Hong_Kong/VM20001061-2/2020,EPI_ISL_412028,Hong Kong Department of Health,"School of Public Health, The University of Hon g Kong",Dominic N.C. Tsang et al
Hong_Kong/VM20002493-2/2020|2020-02-09,Hong_Kong/VM20002493-2/2020,EPI_ISL_414527,Hong Kong Department of Health,"School of Public Health, The University of Hong Kong",Dominic N.C. Tsang et al
Hong_Kong/VM20002507-2/2020|2020-02-10,Hong_Kong/VM20002507-2/2020,EPI_ISL_414528,Hong Kong Department of Health,"School of Public Health, The University of Hong Kong",Dominic N.C. Tsang et al
Hong_Kong/VM20002849/2020|2020-02-22,Hong_Kong/VM20002849/2020,EPI_ISL_414571,Hong Kong Department of Health,"School of Public Health, The University of Hong Kong",Dominic N.C. Tsang et al
Hong_Kong/VM20009579/2020|2020-03-16,Hong_Kong/VM20009579/2020,EPI_ISL_450404,unknown,"School of Public Health, The University of Hong Kong",Sit et al
Hong_Kong/XM-PII-S4/2020|2020-01-22,Hong_Kong/XM-PII-S4/2020,EPI_ISL_417443,State Key Laboratory for Emerging Infectious Diseases Department of Microbiology Li Ka Shing Faculty of Medicine The University of Hong Kong,State Key Laboratory for Emerging Infectious Diseases Department of Microbiology Li Ka Shing Faculty of Medicine The University of Hong Kong,Pui Wang et al
Hungary/SRC-00055/2020|2020-03-20,Hungary/SRC-00055/2020,EPI_ISL_435419,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
Hungary/SRC-00183/2020|2020-03-22,Hungary/SRC-00183/2020,EPI_ISL_435407,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
Hungary/SRC-03670w/2020|2020-03-29,Hungary/SRC-03670w/2020,EPI_ISL_435430,"Virological Research Group, Szentágothai Research Centre","Bioinformatics Research Group, Szentágothai Research Centre",Péter Urbán et al
Iceland/147/2020|2020-03-13,Iceland/147/2020,EPI_ISL_417797,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al
Iceland/48/2020|2020-03-05,Iceland/48/2020,EPI_ISL_417707,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al
Iceland/62/2020|2020-03-06,Iceland/62/2020,EPI_ISL_417757,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al
India/1-27/2020|2020-01-27,India/1-27/2020,EPI_ISL_413522,Indian Council of Medical Research - National Institute of Virology,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology",Potdar V et al
India/1-31/2020|2020-01-31,India/1-31/2020,EPI_ISL_413523,Indian Council of Medical Research-National Institute of Virology,"National Influenza Center, Indian Council of Medical Research-National Institute of Virology",Potdar V et al
India/772/2020|2020-03-03,India/772/2020,EPI_ISL_420547,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology","Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex",Pragya D. Yadav. Savita Patil et al
India/777/2020|2020-03-03,India/777/2020,EPI_ISL_420551,"National Influenza Center, Indian Council of Medical Research - National Institute of Virology","Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex",Pragya D. Yadav. Savita Patil et al
India/CCMB_K599/2020|2020-04-14,India/CCMB_K599/2020,EPI_ISL_447863,CSIR-Centre for Cellular and Molecular Biology,CSIR-Centre for Cellular and Molecular Biology,Payel Mukherjee et al
India/CCMB_K849/2020|2020-04-16,India/CCMB_K849/2020,EPI_ISL_447860,CSIR-Centre for Cellular and Molecular Biology,CSIR-Centre for Cellular and Molecular Biology,Tulasi Nagabandi et al
India/CCMB_L1452/2020|2020-05-25,India/CCMB_L1452/2020,EPI_ISL_471591,CSIR-Centre for Cellular and Molecular Biology,CSIR-Centre for Cellular and Molecular Biology,Namami Gaur et al
India/CCMB_L1455/2020|2020-05-25,India/CCMB_L1455/2020,EPI_ISL_471594,CSIR-Centre for Cellular and Molecular Biology,CSIR-Centre for Cellular and Molecular Biology,Namami Gaur et al
India/CCMB_L1469/2020|2020-05-25,India/CCMB_L1469/2020,EPI_ISL_471600,CSIR-Centre for Cellular and Molecular Biology,CSIR-Centre for Cellular and Molecular Biology,Sakshi Shambhavi et al
India/GBRC102/2020|2020-04-27,India/GBRC102/2020,EPI_ISL_450791,"Pandit Deendayal Upadhyay Government Medical College, Rajkot",Gujarat Biotechnology Research Centre,Zarna Patel et al
India/GBRC141b/2020|2020-05-24,India/GBRC141b/2020,EPI_ISL_458101,B.J. Medical College and Civil hospital,Gujarat Biotechnology Research Centre,Dhaval Vaghela et al
India/GBRC148a/2020|2020-05-17,India/GBRC148a/2020,EPI_ISL_458109,Gujarat Biotechnology Research Centre,Gujarat Biotechnology Research Centre,Zarna Patel et al
